               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.020228,            0.016849,                   0,              0.8104,             0.82053,              0.8624,             0.67878,            0.021014,            0.010387,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020728,            0.016817,                   0,             0.82235,             0.80365,             0.85831,             0.67087,            0.020816,            0.010847,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020122,            0.016659,                   0,             0.82143,             0.79663,             0.85555,             0.67704,            0.020453,            0.010992,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.020025,            0.016522,                   0,             0.81417,             0.81796,             0.86386,             0.68167,            0.020497,            0.010913,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.020754,            0.017047,                   0,             0.80145,             0.82192,             0.85767,             0.67021,            0.020005,            0.011055,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.019862,            0.016093,                   0,             0.81369,             0.80308,             0.85879,              0.6793,            0.019984,            0.010941,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020252,            0.016532,                   0,             0.79883,             0.81743,             0.85861,             0.67577,            0.020495,             0.01116,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.020441,            0.016599,                   0,             0.80632,              0.8125,             0.86592,             0.68606,            0.020229,            0.010899,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.019888,            0.015875,                   0,              0.8202,             0.79514,             0.85079,             0.66692,             0.02054,            0.011226,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.019657,            0.015621,                   0,             0.78693,             0.81498,             0.85243,             0.67165,            0.020483,               0.011,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.019465,            0.016019,                   0,             0.79638,             0.82341,             0.85534,             0.67181,            0.020495,            0.010947,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.019773,            0.016356,                   0,             0.81343,             0.81052,             0.86228,             0.68069,            0.020991,            0.010824,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.019641,            0.016483,                   0,             0.79881,             0.81141,             0.85322,             0.67283,            0.020507,            0.010833,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.019894,            0.015864,                   0,              0.7753,             0.85069,             0.86378,             0.68005,            0.020361,            0.010826,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.019448,            0.016035,                   0,             0.80666,             0.80919,             0.86189,             0.68218,            0.020566,            0.011019,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.019556,            0.016708,                   0,             0.79459,              0.8244,             0.86316,             0.68143,            0.020876,            0.011152,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.019762,            0.016246,                   0,             0.81869,             0.80407,             0.86458,             0.67789,              0.0207,            0.010902,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.019375,            0.015908,                   0,             0.81769,             0.81426,             0.86226,             0.67811,            0.020799,            0.010853,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.019098,            0.015597,                   0,              0.8032,             0.82799,             0.86604,             0.68858,            0.020755,            0.010791,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.018933,            0.015744,                   0,             0.79534,              0.8347,             0.86599,             0.68368,              0.0204,              0.0109,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.019007,            0.015283,                   0,             0.81452,               0.813,             0.86099,             0.67723,            0.020607,            0.011113,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.019093,            0.015994,                   0,             0.81333,             0.80556,                0.86,              0.6795,            0.020566,            0.011177,                   0,            0.005083,            0.005083,            0.005083
